phi_deg, psi_deg, phi, psi, grad_phi, grad_psi
-180, -180, -3.141592653589793, -3.141592653589793, -39.136504430085346, 11.817463404424716
-180, -177, -3.141592653589793, -3.0892327760299634, -47.830141134833724, 16.43705707490518
-180, -174, -3.141592653589793, -3.036872898470133, -46.91233378272174, 18.458582860155637
-180, -171, -3.141592653589793, -2.9845130209103035, -43.0248212617685, 13.110061338999364
-180, -168, -3.141592653589793, -2.9321531433504737, -40.219619423740525, 13.619440807942132
-180, -165, -3.141592653589793, -2.8797932657906435, -42.567245450654816, 24.99886292222777
-180, -162, -3.141592653589793, -2.827433388230814, -39.30084488197474, 19.880740482057472
-180, -159, -3.141592653589793, -2.775073510670984, -45.50004057124479, 19.16516259634266
-180, -156, -3.141592653589793, -2.722713633111154, -53.53621115261456, 29.907040156172854
-180, -153, -3.141592653589793, -2.670353755551324, -48.506776285894155, 27.51346227045803
-180, -150, -3.141592653589793, -2.6179938779914944, -45.88113272153773, 24.285805176822404
-180, -147, -3.141592653589793, -2.5656340004316642, -46.62417536688017, 27.94723719209815
-180, -144, -3.141592653589793, -2.5132741228718345, -45.259737458777735, 25.96464940539321
-180, -141, -3.141592653589793, -2.4609142453120048, -56.00605351361695, 32.46680419294574
-180, -138, -3.141592653589793, -2.4085543677521746, -47.16745033006488, 33.36543422802344
-180, -135, -3.141592653589793, -2.356194490192345, -50.68520280531238, 30.721222678942286
-180, -132, -3.141592653589793, -2.303834612632515, -51.46208172889317, 28.68111013976213
-180, -129, -3.141592653589793, -2.251474735072685, -46.07186694849303, 35.19076987781011
-180, -126, -3.141592653589793, -2.199114857512855, -39.340595803534356, 21.514597932689355
-180, -123, -3.141592653589793, -2.1467549799530254, -39.19554481088972, 29.059376482618106
-180, -120, -3.141592653589793, -2.0943951023931953, -37.72473292970164, 12.838036220666112
-180, -117, -3.141592653589793, -2.0420352248333655, -39.886490710869246, 14.0835177408919
-180, -114, -3.141592653589793, -1.9896753472735358, -46.19072069817957, 23.85287054824639
-180, -111, -3.141592653589793, -1.9373154697137058, -46.35041907340665, 19.659490682333793
-180, -108, -3.141592653589793, -1.8849555921538759, -43.72491037067942, 20.38501180652019
-180, -105, -3.141592653589793, -1.8325957145940461, -44.67923406197063, 23.616859663379607
-180, -102, -3.141592653589793, -1.7802358370342162, -34.89202995940458, 17.10988573806106
-180, -99, -3.141592653589793, -1.7278759594743862, -46.96341150294847, 19.770555377098937
-180, -96, -3.141592653589793, -1.6755160819145565, -33.38318455702018, 2.8900864022752066
-180, -93, -3.141592653589793, -1.6231562043547265, -37.52814877128576, 8.876072872996252
-180, -90, -3.141592653589793, -1.5707963267948966, -49.322562282337984, 13.274435581341072
-180, -87, -3.141592653589793, -1.5184364492350666, -42.07757981978013, -3.3464096311061953
-180, -84, -3.141592653589793, -1.4660765716752369, -47.20160266314237, 11.712022384169078
-180, -81, -3.141592653589793, -1.413716694115407, -40.710958321941966, -9.710426788674228
-180, -78, -3.141592653589793, -1.361356816555577, -45.416371122144064, 8.96164879095771
-180, -75, -3.141592653589793, -1.3089969389957472, -44.03603759585661, -8.129780579905619
-180, -72, -3.141592653589793, -1.2566370614359172, -46.074500611859314, -2.632299059679615
-180, -69, -3.141592653589793, -1.2042771838760873, -34.26216249050187, -13.198035361235794
-180, -66, -3.141592653589793, -1.1519173063162575, -45.96117310234207, -0.6163063162575542
-180, -63, -3.141592653589793, -1.0995574287564276, -40.14253031482965, 0.893452431691221
-180, -60, -3.141592653589793, -1.0471975511965976, -31.785862419416873, -14.424868028280796
-180, -57, -3.141592653589793, -0.9948376736367679, -39.40635973345987, -6.366049874391652
-180, -54, -3.141592653589793, -0.9424777960769379, -42.71252649660362, -8.385310928423081
-180, -51, -3.141592653589793, -0.8901179185171081, -48.573034488480694, 4.812814156159242
-180, -48, -3.141592653589793, -0.8377580409572782, -38.28661715920247, -18.95793204638715
-180, -45, -3.141592653589793, -0.7853981633974483, -38.84760874590646, -3.3012327043789718
-180, -42, -3.141592653589793, -0.7330382858376184, -47.29643434631071, -2.2646620752421924
