t,l2 loss,l1 loss,linf loss,l2 loss HSS,l1 loss HSS,linf loss HSS
0,0.4408577378078443,0.4394176189132694,0.5710074928259298,0.4136530183359563,0.41316960693171667,0.5337389501700808
2,0.13751459639881036,0.1331875727932234,0.730926207315008,0.06206390442949064,0.05811900870388661,0.8252516192005152
4,0.009476320013999211,0.005900408231568248,0.6792525464275685,0.00985839805496684,0.005897318063493221,0.5736536227277667
6,0.0018612839291500202,7.216940185345318e-05,0.250525144879959,0.00254223902650227,0.0002650721288809083,0.38082970665083593
8,0.0021899225817547624,4.30055400094083e-05,0.4277304553375362,0.001437545024610439,4.932993013886124e-05,0.2653718682201248
10,0.001836940434031405,2.6363636485129103e-05,0.4227433812666679,0.0008852608034334349,1.7589056029397875e-05,0.18878626651717414
12,0.00203291569189539,2.4942138208116422e-05,0.49598472225878015,0.0005608886400810699,8.410290963189658e-06,0.13160263742589773
14,0.001968732486429098,2.2654765311140263e-05,0.48396907366875913,0.0003880919166409752,4.811041557728197e-06,0.10872546539572198
16,0.0018131894086789557,1.9737886521322028e-05,0.4680046374355856,0.00031481414793974255,3.473201852238806e-06,0.10651515170127124
18,0.0016114019947612616,1.6799431674918257e-05,0.43297101616156525,0.00031504401992241073,3.3483499522399997e-06,0.1228040445298828
20,0.0015732440778517991,1.6101521214968918e-05,0.4424406881429456,0.00034091453991639837,3.406953495168268e-06,0.15961657209143165
22,0.0017247837368853309,1.7671131659039357e-05,0.4683204627742871,0.00030478676640099543,2.9849171202707366e-06,0.153385593703252
24,0.001605154470657066,1.6125855179418076e-05,0.43836402654132517,0.00032400553500671903,3.1471480684251523e-06,0.1571373484639942
26,0.0015520116358030602,1.5415843637287793e-05,0.42486887278535207,0.00032767786186299846,3.1949314025208625e-06,0.16112195344006264
28,0.0016568024456518437,1.6367873837500156e-05,0.45566243029787995,0.0003143620638382898,3.078875497473027e-06,0.15536578792171196
30,0.0016947092840437369,1.6741768258740368e-05,0.47445154585025834,0.00031819873139432423,3.1274189303824224e-06,0.15828354578302495
32,0.001544641124964908,1.5062019688563387e-05,0.43278835431100626,0.00031235398651163857,3.0597048463875444e-06,0.15327102001361592
34,0.0015484625028751395,1.5062808122546097e-05,0.45682478047564484,0.0003182990792190256,3.1370244357378534e-06,0.15397387798480733
36,0.001627858758674539,1.6023158528010867e-05,0.44587337731799753,0.0003201423929366832,3.108111365526628e-06,0.16855512304052833
38,0.0015907023792854113,1.549831799141647e-05,0.45762503243639924,0.0003190657192757688,3.1260371303569694e-06,0.15618581673281995
40,0.0015246823681353088,1.4719862388333063e-05,0.42978384438230477,0.0003227440790938554,3.1387278659837194e-06,0.16695712895428383
42,0.0017780180860870818,1.754611342350727e-05,0.495450392884987,0.00031708252578468,3.1037858102441134e-06,0.15601206919329969
44,0.001671991289044352,1.644167283092602e-05,0.46508891779399686,0.00032885285306461637,3.2167086691653968e-06,0.16562585921322548
46,0.0017530172186488446,1.7344748742470973e-05,0.486470327783715,0.0003167435903462954,3.1445214319642683e-06,0.15358719108103258
